LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1488917867.251948000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
2,1488917867.251948000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
3,1488917867.251948000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
4,1488917867.251948000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
5,1488917867.251948000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
6,1488917867.251948000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
7,1488917867.251948000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
8,1488917867.251948000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
9,1488917867.251948000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
10,1488917867.252946000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
11,1488917867.252946000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
12,1488917867.472860000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
13,1488917867.472860000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
14,1488917867.472860000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
15,1488917867.472860000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
16,1488917867.472860000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
17,1488917867.472860000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
18,1488917867.473814000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
19,1488917867.473814000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
20,1488917867.473814000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
21,1488917867.473814000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
22,1488917867.473814000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
23,1488917867.690808000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
24,1488917867.690808000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
25,1488917867.690808000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
26,1488917867.690808000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
27,1488917867.690808000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
28,1488917867.690808000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
29,1488917867.690808000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
30,1488917867.690808000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
31,1488917867.690808000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
32,1488917867.690808000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
33,1488917867.690808000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
34,1488917867.912187000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
35,1488917867.912187000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
36,1488917870.814086000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
37,1488917870.815085000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
38,1488917870.815085000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
39,1488917871.029492000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
40,1488917871.030539000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
41,1488917871.030539000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
42,1488917871.248952000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
43,1488917871.248952000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
44,1488917871.634117000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
45,1488917871.634117000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
46,1488917871.634117000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
47,1488917871.973520000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
48,1488917871.973520000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
49,1488917871.974520000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
50,1488917872.191675000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
51,1488917872.191675000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
52,1488917872.535181000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
53,1488917872.535181000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
54,1488917872.754960000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
55,1488917872.754960000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
56,1488917872.973650000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
57,1488917872.973650000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
58,1488917872.973650000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
59,1488917873.290909000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
60,1488917873.291918000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
61,1488917873.609914000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
62,1488917873.609914000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
63,1488917873.609914000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
64,1488917874.033491000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
65,1488917874.033491000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
66,1488917874.033491000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
67,1488917874.033491000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
68,1488917874.414102000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
69,1488917874.414102000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
70,1488917874.415097000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
71,1488917874.415097000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
72,1488917874.415097000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
73,1488917874.672175000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
74,1488917874.672175000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
75,1488917874.892441000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
76,1488917874.892441000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
77,1488917874.892441000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
78,1488917874.893435000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
79,1488917878.054196000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
80,1488917878.054196000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
81,1488917878.255141000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
82,1488917878.255141000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
83,1488917885.894602000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
84,1488917885.894602000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
85,1488917885.895600000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
86,1488917886.272118000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
87,1488917886.273115000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
88,1488917886.273115000,INFO,ATTACH REQUEST,d569b07b,ATTACH <*>,['REQUEST']
89,1488917886.273115000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
90,1488917886.273115000,INFO,AUTHENTICATION REQUEST,6577c5e3,AUTHENTICATION <*>,['REQUEST']
91,1488917886.565102000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
92,1488917886.565102000,INFO,AUTHENTICATION RESPONSE,6577c5e3,AUTHENTICATION <*>,['RESPONSE']
93,1488917887.632916000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
94,1488917896.434124000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
95,1488917896.434124000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
96,1488917896.434124000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
97,1488917896.434124000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
98,1488917896.434124000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
99,1488917896.434124000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
100,1488917896.434124000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
101,1488917896.434124000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
102,1488917896.434124000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
103,1488917896.435127000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
104,1488917896.435127000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
105,1488917896.435127000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
106,1488917896.435127000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
107,1488917896.435127000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
108,1488917896.435127000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
109,1488917896.435127000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
110,1488917896.435127000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
111,1488917896.435127000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
112,1488917896.436119000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
113,1488917896.436119000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
114,1488917896.651664000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
115,1488917896.651664000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
116,1488917896.874144000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
117,1488917896.875186000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
118,1488917896.875186000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
119,1488917896.875186000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
120,1488917896.875186000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
121,1488917896.875186000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
122,1488917896.875186000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
123,1488917896.875186000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
124,1488917896.875186000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
125,1488917896.876183000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
126,1488917896.876183000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
127,1488917897.089791000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
128,1488917897.089791000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
129,1488917897.089791000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
130,1488917900.014544000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
131,1488917900.015542000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
132,1488917900.316140000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
133,1488917900.317137000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
134,1488917900.317137000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
135,1488917900.317137000,INFO,ATTACH REQUEST,d569b07b,ATTACH <*>,['REQUEST']
136,1488917900.560714000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
137,1488917900.560714000,INFO,AUTHENTICATION REQUEST,6577c5e3,AUTHENTICATION <*>,['REQUEST']
138,1488917900.889741000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
139,1488917900.889741000,INFO,AUTHENTICATION RESPONSE,6577c5e3,AUTHENTICATION <*>,['RESPONSE']
140,1488917900.889741000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
141,1488917900.889741000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
142,1488917900.889741000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
143,1488917900.889741000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
144,1488917901.189704000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
145,1488917901.189704000,INFO,SECURITY MODE COMPLETE,b9fd3309,SECURITY MODE <*>,['COMPLETE']
146,1488917901.189704000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
147,1488917901.189704000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
148,1488917901.190704000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
149,1488917901.190704000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
150,1488917901.190704000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
151,1488917911.559432000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
152,1488917929.292638000,INFO,PAGING,0a2f5089,PAGING,[]
153,1488917929.292638000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
154,1488917929.292638000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
155,1488917929.292638000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
156,1488917929.292638000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
157,1488917929.537508000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
158,1488917929.537508000,INFO,SERVICE REJECT,e046c208,SERVICE REJECT,[]
159,1488917930.565295000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
160,1488917930.565295000,INFO,ATTACH REQUEST,d569b07b,ATTACH <*>,['REQUEST']
161,1488917935.539513000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
162,1488917944.311047000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
163,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
164,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
165,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
166,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
167,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
168,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
169,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
170,1488917944.311047000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
171,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
172,1488917944.311047000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
173,1488917944.534547000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
174,1488917944.534547000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
175,1488917944.534547000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
176,1488917944.534547000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
177,1488917944.534547000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
178,1488917944.534547000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
179,1488917944.535586000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
180,1488917944.535586000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
181,1488917944.535586000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
182,1488917944.535586000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
183,1488917944.535586000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
184,1488917944.752652000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
185,1488917944.752652000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
186,1488917944.752652000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
187,1488917944.752652000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
188,1488917944.753646000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
189,1488917944.753646000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
190,1488917944.753646000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
191,1488917944.753646000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
192,1488917947.994310000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
193,1488917947.994310000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
194,1488917948.330327000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
195,1488917948.330327000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
196,1488917948.331325000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
197,1488917948.331325000,INFO,ATTACH REQUEST,d569b07b,ATTACH <*>,['REQUEST']
198,1488917948.331325000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
199,1488917948.331325000,INFO,ATTACH REJECT,d569b07b,ATTACH <*>,['REJECT']
200,1488917949.485208000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
201,1488917949.894229000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
202,1488917949.894229000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
203,1488917949.895193000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
204,1488917949.895193000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
205,1488917949.895193000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
206,1488917949.895193000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
207,1488917949.895193000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
208,1488917950.353499000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
209,1488917950.353499000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
210,1488917950.569777000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
211,1488917950.569777000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
212,1488917950.569777000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
213,1488917950.991640000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
214,1488917950.991640000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
215,1488917950.992639000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
216,1488917950.992639000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
217,1488917951.453617000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
218,1488917951.454599000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
219,1488917958.212109000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
220,1488917958.212109000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
221,1488917958.213107000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
222,1488917958.213107000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
223,1488917958.213107000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
224,1488917958.213107000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
225,1488917958.213107000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
226,1488917958.213107000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
227,1488917958.213107000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
228,1488917958.213107000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
229,1488917958.213107000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
230,1488917958.432800000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
231,1488917958.432800000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
232,1488917958.432800000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
233,1488917958.432800000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
234,1488917958.432800000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
235,1488917958.432800000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
236,1488917958.432800000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
237,1488917958.433794000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
238,1488917958.433794000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
239,1488917958.433794000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
240,1488917958.433794000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
241,1488917958.652473000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
242,1488917958.652473000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
243,1488917958.653469000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
244,1488917958.653469000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
245,1488917958.653469000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
246,1488917958.653469000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
247,1488917958.653469000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
248,1488917958.653469000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
249,1488917958.653469000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
